age,annual_income,employment_length,credit_score,debt_to_income,num_open_accounts,delinquencies_2y,inquiries_6m,loan_amount,loan_term_months,interest_rate,purpose,home_ownership,channel,region,default_12m
72,69300.0,30,713.0,0.3,9,1,0,19805.0,60,0.161,medical,mortgage,broker,north,0
64,19600.0,1,754.0,0.294,10,0,0,15011.0,60,0.095,medical,rent,online,north,0
56,80800.0,6,639.0,0.344,8,0,0,5281.0,36,0.244,auto,rent,branch,south,0
34,40700.0,38,584.0,0.055,8,0,0,20420.0,36,0.257,vacation,mortgage,online,wales,0
35,31300.0,32,759.0,0.441,6,0,0,2847.0,36,0.081,education,mortgage,online,south,0
65,47900.0,13,741.0,0.317,3,1,2,16032.0,60,0.104,home_improvement,rent,online,south,0
46,47900.0,23,659.0,0.023,5,1,0,11278.0,36,0.202,small_business,mortgage,branch,north,0
63,46100.0,28,636.0,0.518,4,0,0,1000.0,36,0.264,home_improvement,rent,online,ni,1
21,23700.0,15,744.0,0.204,6,1,1,18922.0,60,0.111,vacation,mortgage,online,midlands,1
38,11200.0,14,702.0,0.256,3,0,1,4174.0,36,0.149,medical,own,online,ni,0
30,71900.0,3,748.0,0.251,6,0,2,14865.0,60,0.11,debt_consolidation,rent,branch,scotland,0
52,45400.0,2,677.0,0.366,7,0,1,14105.0,36,0.236,debt_consolidation,mortgage,broker,wales,0
42,64000.0,28,606.0,0.27,4,0,2,6288.0,36,0.254,education,mortgage,online,midlands,0
43,13600.0,14,655.0,0.267,5,0,1,1838.0,60,0.25,debt_consolidation,own,branch,scotland,0
35,37100.0,35,742.0,0.239,5,2,1,3478.0,36,0.068,debt_consolidation,mortgage,online,midlands,0
69,27600.0,30,680.0,0.364,5,0,0,5877.0,36,0.212,education,rent,branch,south,0
70,47500.0,19,640.0,0.122,2,0,2,1000.0,36,0.229,vacation,mortgage,broker,ni,0
22,72700.0,23,645.0,0.092,4,0,0,19860.0,36,0.235,education,mortgage,broker,north,0
70,25100.0,0,771.0,0.361,6,1,3,10806.0,60,0.068,small_business,rent,online,midlands,0
42,56700.0,6,731.0,0.222,4,0,0,8769.0,36,0.073,vacation,mortgage,branch,scotland,0
27,57600.0,18,707.0,0.243,7,1,0,10916.0,36,0.133,small_business,rent,branch,wales,0
51,15900.0,14,645.0,0.306,2,0,0,2140.0,60,0.267,medical,rent,online,ni,0
37,42400.0,38,545.0,0.132,7,0,1,2617.0,36,0.267,education,rent,online,north,1
74,44500.0,34,713.0,0.133,4,0,0,17902.0,36,0.117,education,rent,branch,wales,0
23,38500.0,40,523.0,0.0,3,0,0,8185.0,60,0.261,home_improvement,own,online,midlands,0
72,56900.0,19,761.0,0.411,5,0,2,10927.0,60,0.121,education,rent,branch,south,0
39,82200.0,21,786.0,0.245,8,0,0,6119.0,60,0.082,auto,rent,online,south,0
52,64200.0,15,741.0,0.244,7,0,0,7067.0,36,0.068,home_improvement,mortgage,online,midlands,0
37,80100.0,0,643.0,0.21,7,0,1,11921.0,36,0.23,vacation,mortgage,online,midlands,0
65,69700.0,17,713.0,0.359,6,1,0,6095.0,36,0.136,debt_consolidation,own,online,south,0
69,42300.0,33,634.0,0.335,4,2,1,10665.0,60,0.275,debt_consolidation,mortgage,branch,scotland,0
39,32900.0,23,620.0,0.103,2,0,1,5238.0,36,0.23,home_improvement,mortgage,online,north,0
58,24600.0,7,662.0,0.16,6,0,0,16864.0,36,0.23,vacation,rent,online,wales,0
26,17300.0,2,709.0,0.298,7,0,0,14319.0,60,0.165,medical,mortgage,online,scotland,0
60,33000.0,6,850.0,0.079,4,0,0,14826.0,60,0.085,vacation,rent,broker,midlands,0
41,51800.0,0,701.0,0.205,0,0,0,10607.0,36,0.162,home_improvement,mortgage,branch,wales,0
29,41400.0,10,718.0,0.147,6,0,1,13089.0,36,0.097,small_business,mortgage,branch,midlands,0
32,43000.0,20,602.0,0.254,8,0,1,15416.0,36,0.256,auto,rent,branch,north,0
67,67200.0,10,704.0,0.341,5,0,0,1304.0,36,0.16,education,mortgage,branch,north,0
37,70200.0,29,743.0,0.264,10,0,0,15560.0,60,0.105,debt_consolidation,mortgage,online,wales,0
30,39600.0,17,747.0,0.321,7,1,0,18269.0,36,0.095,medical,mortgage,branch,scotland,0
50,42000.0,36,708.0,0.334,3,2,2,14990.0,36,0.16,small_business,rent,online,south,0
70,21300.0,34,631.0,0.122,7,1,0,9273.0,36,0.228,medical,own,branch,scotland,1
38,76600.0,39,808.0,0.141,3,0,1,8166.0,36,0.042,home_improvement,mortgage,online,scotland,0
72,40700.0,37,716.0,0.009,12,0,1,20863.0,60,0.122,education,mortgage,online,scotland,0
47,12100.0,6,810.0,0.479,3,1,0,9186.0,36,0.094,home_improvement,rent,branch,scotland,1
24,44500.0,10,728.0,0.154,8,1,1,18077.0,60,0.128,vacation,mortgage,online,south,0
60,40300.0,3,774.0,0.21,8,0,3,12493.0,60,0.078,vacation,rent,online,ni,0
70,63700.0,5,571.0,0.229,6,2,2,14749.0,60,0.27,home_improvement,mortgage,branch,scotland,1
68,44500.0,14,623.0,0.422,6,0,0,15068.0,36,0.284,education,mortgage,online,ni,1
36,56300.0,14,711.0,0.359,2,0,1,20319.0,36,0.134,vacation,mortgage,branch,midlands,1
52,33700.0,5,741.0,0.25,11,0,0,14769.0,36,0.082,small_business,own,broker,scotland,0
74,67600.0,23,626.0,0.181,3,1,0,7317.0,36,0.241,medical,rent,online,scotland,1
66,25500.0,2,561.0,0.148,7,2,1,9924.0,36,0.266,medical,mortgage,online,south,1
66,41300.0,2,787.0,0.251,5,0,1,18638.0,36,0.064,debt_consolidation,rent,online,wales,1
58,49000.0,31,619.0,0.103,4,1,0,17063.0,60,0.277,small_business,rent,online,wales,1
29,37800.0,21,760.0,0.405,4,0,2,22622.0,60,0.106,education,rent,broker,south,0
64,68500.0,14,828.0,0.2,6,0,2,13208.0,60,0.088,debt_consolidation,rent,online,wales,0
23,53800.0,16,655.0,0.282,2,1,0,17652.0,36,0.25,home_improvement,mortgage,online,wales,0
62,50200.0,26,607.0,0.309,3,1,3,4016.0,36,0.256,education,mortgage,online,south,1
26,48900.0,24,674.0,0.399,10,0,1,2314.0,60,0.249,small_business,rent,online,wales,0
63,56300.0,3,762.0,0.29,2,0,2,21403.0,36,0.093,education,mortgage,online,ni,0
30,59500.0,39,581.0,0.242,7,0,1,7730.0,60,0.274,medical,own,online,ni,1
23,27900.0,28,705.0,0.49,2,0,0,14239.0,36,0.172,vacation,mortgage,broker,north,1
37,43900.0,5,599.0,0.413,3,2,2,2871.0,36,0.27,medical,mortgage,branch,north,1
54,38900.0,32,582.0,0.46,7,0,0,6790.0,36,0.294,auto,mortgage,online,north,1
60,37800.0,0,595.0,0.522,7,0,0,1000.0,60,0.294,medical,rent,branch,south,1
37,46200.0,39,658.0,0.198,3,0,0,15885.0,36,0.234,medical,own,broker,midlands,0
24,44700.0,37,586.0,0.474,2,0,1,15295.0,60,0.311,debt_consolidation,rent,branch,midlands,0
28,23400.0,0,687.0,0.237,5,0,0,19942.0,36,0.186,debt_consolidation,rent,branch,scotland,1
52,39300.0,1,597.0,0.245,8,0,1,19611.0,36,0.263,medical,mortgage,online,midlands,0
67,72800.0,17,602.0,0.19,6,0,0,6038.0,36,0.243,auto,rent,branch,ni,1
70,61100.0,32,568.0,0.17,7,0,1,13287.0,36,0.259,medical,rent,branch,scotland,0
56,17600.0,36,715.0,0.327,5,2,1,8298.0,60,0.141,auto,mortgage,branch,south,0
43,33200.0,24,624.0,0.069,3,0,0,9790.0,60,0.254,home_improvement,rent,branch,ni,0
54,53300.0,31,682.0,0.247,3,0,0,15384.0,36,0.188,home_improvement,rent,online,north,0
74,23100.0,31,733.0,0.251,4,0,0,7448.0,36,0.081,auto,rent,branch,wales,0
72,48000.0,34,689.0,0.09,6,0,0,12583.0,60,0.189,small_business,rent,online,wales,0
33,94300.0,25,665.0,0.525,2,1,0,13225.0,60,0.271,auto,mortgage,online,wales,0
38,55200.0,10,642.0,0.134,7,0,0,9229.0,60,0.247,auto,mortgage,broker,ni,1
65,28100.0,5,594.0,0.207,7,0,1,14801.0,36,0.245,medical,rent,branch,north,0
23,52700.0,11,722.0,0.279,3,0,1,14117.0,36,0.099,vacation,mortgage,online,north,0
56,18500.0,15,676.0,0.437,7,1,0,15743.0,60,0.246,auto,rent,branch,ni,0
27,42000.0,39,543.0,0.241,4,1,0,19259.0,36,0.262,medical,rent,broker,wales,0
50,16500.0,38,628.0,0.207,5,1,0,13611.0,36,0.227,education,mortgage,broker,south,1
61,33800.0,39,765.0,0.404,4,0,2,15153.0,36,0.087,medical,rent,online,scotland,0
23,17200.0,5,709.0,0.236,6,1,0,10901.0,60,0.146,education,rent,branch,north,0
53,30900.0,5,702.0,0.401,2,0,3,7930.0,36,0.178,medical,rent,online,scotland,0
52,35800.0,11,749.0,0.259,4,0,0,24036.0,60,0.104,education,rent,online,scotland,0
30,73000.0,34,554.0,0.283,4,0,0,6657.0,36,0.277,medical,rent,online,south,0
24,53300.0,29,651.0,0.408,4,0,0,28755.0,60,0.306,vacation,rent,online,ni,0
25,108200.0,24,649.0,0.157,9,0,1,8304.0,36,0.255,home_improvement,rent,broker,midlands,0
55,83600.0,3,674.0,0.167,9,0,2,12926.0,60,0.242,education,rent,branch,north,0
54,45900.0,4,737.0,0.384,5,1,0,17946.0,36,0.094,education,mortgage,online,ni,0
49,61300.0,13,656.0,0.181,4,1,0,19006.0,60,0.267,auto,rent,branch,south,0
46,27300.0,13,583.0,0.251,6,0,0,1000.0,36,0.241,home_improvement,rent,broker,north,0
24,44700.0,4,645.0,0.249,6,0,2,15236.0,60,0.269,debt_consolidation,rent,branch,scotland,1
32,34800.0,2,640.0,0.168,5,0,0,16901.0,36,0.251,auto,rent,branch,wales,0
70,27100.0,3,841.0,0.04,4,0,1,13927.0,60,0.068,small_business,rent,online,midlands,0
45,72300.0,13,758.0,0.258,6,1,1,11831.0,36,0.068,debt_consolidation,mortgage,branch,south,0
46,32100.0,18,767.0,0.21,6,1,1,9983.0,60,0.09,auto,mortgage,online,north,0
60,52600.0,12,800.0,0.447,5,0,0,11593.0,36,0.088,vacation,mortgage,online,scotland,0
41,37900.0,11,699.0,0.343,8,0,0,8914.0,60,0.185,vacation,mortgage,branch,wales,1
30,70100.0,11,755.0,0.171,2,0,1,11750.0,36,0.057,home_improvement,mortgage,branch,ni,0
32,55200.0,14,735.0,0.186,5,0,1,14567.0,36,0.084,debt_consolidation,mortgage,online,north,0
48,20500.0,17,714.0,0.255,9,0,1,18378.0,36,0.149,medical,mortgage,online,wales,0
74,52500.0,18,608.0,0.219,5,0,0,18960.0,36,0.265,debt_consolidation,mortgage,online,scotland,0
73,165600.0,33,819.0,0.234,7,0,1,2032.0,60,0.082,auto,rent,broker,wales,0
66,63400.0,27,694.0,0.128,6,0,0,6235.0,60,0.181,education,mortgage,branch,midlands,0
21,77000.0,2,677.0,0.204,1,0,0,23841.0,60,0.234,vacation,mortgage,online,south,1
23,59100.0,24,743.0,0.283,2,1,3,19098.0,60,0.134,debt_consolidation,mortgage,branch,scotland,1
74,97200.0,8,716.0,0.115,3,0,2,10632.0,36,0.107,medical,mortgage,online,scotland,0
42,33800.0,37,772.0,0.288,6,0,2,2731.0,60,0.082,education,rent,online,south,0
28,32300.0,24,642.0,0.481,5,0,0,3715.0,36,0.285,debt_consolidation,mortgage,branch,south,0
53,36000.0,26,527.0,0.139,3,2,0,11469.0,36,0.237,small_business,rent,online,scotland,1
48,22600.0,9,579.0,0.284,5,0,0,10059.0,36,0.261,small_business,rent,online,south,0
64,27400.0,29,679.0,0.429,7,0,0,8283.0,36,0.239,education,mortgage,online,wales,0
65,78500.0,4,716.0,0.183,6,1,0,15959.0,36,0.12,vacation,mortgage,online,ni,0
64,32000.0,3,812.0,0.404,3,0,2,11842.0,60,0.101,medical,rent,branch,ni,0
30,31400.0,29,641.0,0.489,7,0,0,6118.0,36,0.282,vacation,mortgage,online,scotland,1
65,83700.0,28,690.0,0.335,5,0,0,9251.0,36,0.19,vacation,rent,online,north,0
66,58400.0,14,618.0,0.276,7,0,1,13586.0,60,0.29,education,rent,online,wales,0
26,34900.0,17,722.0,0.58,6,2,0,11672.0,60,0.186,home_improvement,rent,online,midlands,1
37,31900.0,2,768.0,0.273,8,0,0,14104.0,60,0.077,home_improvement,mortgage,online,scotland,0
73,40100.0,18,762.0,0.282,5,0,0,1997.0,60,0.097,education,rent,online,ni,0
46,46500.0,36,637.0,0.273,4,0,2,11440.0,60,0.27,home_improvement,mortgage,broker,scotland,0
45,75200.0,40,610.0,0.222,6,0,0,10132.0,60,0.266,small_business,rent,branch,north,0
59,53800.0,24,613.0,0.312,8,0,1,8099.0,36,0.266,vacation,rent,online,wales,0
25,28600.0,10,700.0,0.108,9,0,1,18267.0,60,0.174,home_improvement,rent,online,wales,0
67,40800.0,6,564.0,0.449,1,0,1,8100.0,60,0.298,education,rent,online,midlands,1
42,22800.0,11,789.0,0.196,6,0,0,22815.0,36,0.07,debt_consolidation,own,branch,north,0
27,33900.0,22,752.0,0.254,7,0,1,6688.0,60,0.099,home_improvement,own,online,ni,1
26,101300.0,9,751.0,0.243,6,0,0,7695.0,60,0.089,auto,own,online,midlands,0
25,23200.0,25,650.0,0.433,3,0,2,15869.0,36,0.267,vacation,rent,branch,scotland,0
64,35000.0,37,714.0,0.283,1,1,1,7909.0,60,0.159,vacation,mortgage,online,ni,0
53,67300.0,16,807.0,0.41,10,0,0,6208.0,60,0.096,medical,rent,online,midlands,0
22,49600.0,35,700.0,0.348,6,1,0,12736.0,60,0.188,medical,rent,branch,scotland,1
33,38800.0,15,751.0,0.181,7,0,1,23325.0,36,0.093,education,mortgage,online,wales,0
37,30800.0,38,716.0,0.145,2,0,1,4409.0,36,0.125,debt_consolidation,rent,online,scotland,0
30,29500.0,6,812.0,0.407,4,0,1,5558.0,60,0.114,auto,rent,branch,wales,0
71,63200.0,36,665.0,0.256,5,0,1,1000.0,36,0.223,vacation,own,online,south,1
49,42100.0,0,501.0,0.314,9,0,0,5961.0,36,0.254,auto,rent,branch,midlands,0
59,52300.0,30,719.0,0.118,3,0,0,10897.0,36,0.088,home_improvement,mortgage,online,midlands,0
69,61700.0,3,654.0,0.341,4,0,1,6439.0,36,0.244,home_improvement,rent,online,south,0
58,21700.0,18,581.0,0.346,5,0,1,16762.0,60,0.307,medical,rent,branch,midlands,0
66,18900.0,12,644.0,0.209,4,0,0,12835.0,36,0.232,debt_consolidation,mortgage,branch,scotland,1
67,54900.0,9,625.0,0.142,4,0,0,18252.0,36,0.263,vacation,rent,branch,ni,0
71,71300.0,14,707.0,0.267,6,1,0,10059.0,60,0.189,vacation,rent,online,midlands,0
50,44500.0,24,722.0,0.121,8,0,1,1000.0,36,0.105,education,rent,online,ni,0
57,65800.0,5,612.0,0.283,3,2,1,24225.0,60,0.299,education,rent,branch,wales,0
29,20900.0,20,613.0,0.299,3,0,0,14141.0,60,0.282,small_business,rent,online,ni,1
48,37900.0,19,760.0,0.366,5,1,0,11202.0,36,0.087,education,rent,online,wales,0
34,34300.0,7,605.0,0.327,9,0,2,3095.0,60,0.277,education,own,online,south,0
30,34200.0,30,740.0,0.242,4,2,1,19521.0,60,0.084,auto,mortgage,branch,south,1
44,56400.0,31,661.0,0.307,5,0,0,8113.0,60,0.271,education,mortgage,branch,south,0
62,12000.0,28,612.0,0.15,2,0,0,21719.0,60,0.282,small_business,rent,online,north,1
24,34500.0,17,703.0,0.457,3,2,1,10185.0,36,0.186,debt_consolidation,mortgage,online,north,0
53,73400.0,11,662.0,0.286,2,0,1,12543.0,36,0.211,debt_consolidation,mortgage,branch,midlands,0
68,37100.0,20,484.0,0.239,7,0,1,7116.0,60,0.277,small_business,mortgage,online,north,1
69,25400.0,18,680.0,0.322,6,1,1,15667.0,60,0.245,auto,rent,branch,wales,0
61,51500.0,38,582.0,0.209,5,0,2,10471.0,36,0.269,small_business,rent,online,wales,0
48,22800.0,2,607.0,0.308,5,0,0,3025.0,60,0.295,debt_consolidation,rent,online,scotland,0
36,67000.0,5,477.0,0.388,6,1,0,7335.0,36,0.265,vacation,rent,online,north,1
44,30400.0,25,775.0,0.358,5,1,0,6815.0,60,0.076,debt_consolidation,mortgage,online,scotland,0
46,86100.0,40,690.0,0.482,9,0,1,9598.0,60,0.221,auto,mortgage,online,midlands,0
62,52100.0,28,623.0,0.254,4,0,0,21847.0,36,0.266,vacation,mortgage,online,wales,0
23,24100.0,22,720.0,0.257,3,0,1,17851.0,60,0.145,debt_consolidation,mortgage,branch,north,0
21,41000.0,9,687.0,0.092,4,1,0,5214.0,60,0.196,medical,mortgage,branch,ni,1
26,41300.0,34,658.0,0.189,4,1,0,12993.0,36,0.233,small_business,rent,branch,midlands,1
67,58400.0,40,620.0,0.334,4,0,0,20865.0,36,0.277,auto,rent,branch,south,0
53,22000.0,25,666.0,0.297,3,0,0,9447.0,36,0.253,debt_consolidation,own,branch,north,0
57,67500.0,21,704.0,0.337,2,1,0,6138.0,36,0.162,education,rent,branch,midlands,0
48,27400.0,20,741.0,0.428,2,0,0,19984.0,60,0.129,education,rent,branch,south,1
33,17800.0,2,655.0,0.376,6,0,1,2543.0,60,0.269,vacation,mortgage,online,wales,0
61,39400.0,35,683.0,0.221,7,1,0,15656.0,36,0.21,medical,mortgage,online,south,0
68,29900.0,35,723.0,0.516,4,0,0,8293.0,36,0.141,auto,mortgage,branch,midlands,0
27,45000.0,17,744.0,0.349,6,0,1,5385.0,36,0.098,debt_consolidation,mortgage,online,scotland,0
25,94000.0,37,715.0,0.381,6,1,0,4432.0,60,0.148,medical,mortgage,branch,north,0
24,41100.0,25,650.0,0.435,6,0,0,16556.0,36,0.278,home_improvement,rent,broker,south,0
74,100300.0,21,699.0,0.432,4,0,0,10742.0,60,0.205,medical,rent,online,wales,0
35,120000.0,23,680.0,0.142,3,0,1,16992.0,36,0.194,vacation,mortgage,online,south,0
40,118000.0,5,768.0,0.244,5,0,2,27147.0,36,0.067,auto,rent,broker,midlands,0
74,49300.0,36,621.0,0.243,4,0,1,13874.0,36,0.245,vacation,mortgage,branch,scotland,0
44,85700.0,9,723.0,0.236,4,0,2,10509.0,36,0.101,education,rent,branch,wales,0
46,85300.0,4,700.0,0.334,5,0,1,23821.0,36,0.163,education,rent,branch,wales,0
41,83600.0,5,671.0,0.348,12,0,0,19333.0,60,0.259,small_business,own,online,midlands,0
50,44200.0,37,702.0,0.426,5,0,1,18119.0,36,0.172,small_business,rent,branch,north,0
23,85100.0,33,645.0,0.219,5,0,1,13551.0,60,0.256,vacation,mortgage,branch,south,0
72,72900.0,4,591.0,0.264,9,1,1,12027.0,36,0.263,vacation,rent,online,scotland,0
49,51400.0,20,804.0,0.325,5,3,1,15128.0,60,0.089,home_improvement,own,online,south,0
45,28600.0,24,768.0,0.354,2,1,0,13862.0,36,0.073,auto,rent,branch,scotland,0
34,60900.0,15,674.0,0.181,8,1,0,5993.0,60,0.217,vacation,mortgage,branch,midlands,0
26,55500.0,33,794.0,0.234,5,0,0,10923.0,36,0.05,auto,mortgage,online,wales,0
60,22300.0,40,751.0,0.337,3,0,0,1299.0,36,0.094,debt_consolidation,rent,online,midlands,0
35,25200.0,39,627.0,0.449,4,0,2,6715.0,36,0.277,medical,rent,online,midlands,0
25,81400.0,8,723.0,0.004,11,0,1,13453.0,36,0.068,small_business,rent,online,scotland,0
56,39600.0,13,684.0,0.299,6,0,0,6336.0,36,0.212,small_business,rent,branch,south,0
23,65800.0,28,647.0,0.282,0,0,0,23754.0,60,0.28,small_business,mortgage,branch,midlands,0
36,38200.0,9,662.0,0.286,4,0,0,5579.0,60,0.24,medical,mortgage,broker,north,0
46,23400.0,24,702.0,0.208,8,0,2,14555.0,60,0.164,debt_consolidation,mortgage,branch,wales,1
64,31600.0,18,726.0,0.331,7,1,1,10405.0,60,0.139,small_business,mortgage,broker,north,0
69,14200.0,12,703.0,0.27,9,1,3,10082.0,36,0.158,auto,mortgage,online,south,1
60,57400.0,38,670.0,0.23,4,0,0,5907.0,36,0.22,small_business,rent,online,wales,0
31,21800.0,7,594.0,0.352,3,1,0,11322.0,36,0.268,small_business,rent,branch,midlands,1
23,127200.0,5,639.0,0.21,8,0,1,5424.0,36,0.239,vacation,own,online,midlands,0
22,29400.0,26,724.0,0.26,4,0,0,20194.0,36,0.114,debt_consolidation,own,branch,ni,0
22,48500.0,32,673.0,0.423,3,0,1,6785.0,36,0.233,vacation,rent,branch,ni,0
56,26500.0,8,663.0,0.353,6,0,0,8894.0,60,0.264,medical,mortgage,branch,midlands,0
45,21100.0,0,651.0,0.18,4,0,1,5221.0,60,0.273,education,mortgage,online,scotland,0
59,42900.0,30,685.0,0.162,5,0,1,9171.0,36,0.189,small_business,rent,online,ni,0
31,31000.0,9,605.0,0.277,3,0,2,19389.0,36,0.261,vacation,rent,online,north,0
73,141000.0,38,649.0,0.279,2,0,1,6798.0,36,0.249,education,mortgage,broker,scotland,0
55,38700.0,33,578.0,0.455,9,0,0,18552.0,36,0.291,debt_consolidation,own,branch,midlands,0
62,13500.0,10,804.0,0.306,3,1,2,20591.0,36,0.07,small_business,own,online,wales,0
57,44300.0,20,706.0,0.179,10,0,2,12794.0,60,0.156,home_improvement,rent,online,scotland,0
70,28300.0,2,636.0,0.388,1,1,0,9810.0,60,0.279,home_improvement,rent,online,ni,0
48,34400.0,12,688.0,0.361,4,0,1,11663.0,36,0.191,home_improvement,rent,online,wales,0
59,29600.0,34,735.0,0.282,6,1,2,24477.0,36,0.117,home_improvement,rent,branch,south,0
58,27300.0,9,828.0,0.311,4,0,0,3820.0,60,0.091,vacation,own,branch,midlands,0
51,19200.0,2,748.0,0.524,3,1,1,4630.0,60,0.123,auto,rent,branch,wales,1
60,49200.0,30,601.0,0.217,5,1,0,6353.0,60,0.259,debt_consolidation,mortgage,broker,wales,0
66,44200.0,25,714.0,0.278,8,0,0,16330.0,60,0.152,home_improvement,rent,online,north,0
33,42500.0,13,762.0,0.385,8,0,2,17298.0,36,0.083,auto,own,broker,north,1
53,37000.0,2,698.0,0.469,5,0,0,5486.0,60,0.22,auto,mortgage,online,wales,0
49,97800.0,29,571.0,0.0,5,1,1,14845.0,36,0.229,auto,mortgage,branch,midlands,0
58,30900.0,39,588.0,0.274,3,0,0,11233.0,36,0.245,vacation,mortgage,online,north,0
27,34300.0,16,843.0,0.27,6,0,1,12515.0,36,0.07,vacation,mortgage,branch,scotland,0
59,99600.0,22,710.0,0.212,11,0,0,6153.0,36,0.132,medical,rent,online,midlands,0
74,51500.0,39,613.0,0.28,7,0,0,23175.0,36,0.278,vacation,rent,online,north,0
57,33500.0,14,597.0,0.337,5,0,0,14267.0,36,0.278,auto,rent,online,wales,0
52,29300.0,38,555.0,0.146,6,1,1,12928.0,60,0.28,debt_consolidation,mortgage,branch,midlands,1
70,34600.0,19,640.0,0.089,10,0,0,15958.0,60,0.262,home_improvement,own,online,wales,0
43,38000.0,1,629.0,0.405,5,0,1,2902.0,36,0.249,debt_consolidation,mortgage,branch,north,0
55,42000.0,7,621.0,0.185,3,0,0,15623.0,60,0.283,vacation,mortgage,online,south,1
59,92600.0,21,796.0,0.024,8,0,0,15784.0,60,0.068,home_improvement,rent,broker,wales,0
37,22200.0,16,812.0,0.241,4,0,1,8946.0,36,0.067,education,own,online,north,0
53,46800.0,33,653.0,0.318,8,1,2,8515.0,36,0.242,home_improvement,mortgage,branch,south,1
34,61600.0,13,522.0,0.272,8,1,0,10725.0,60,0.302,vacation,mortgage,online,north,1
33,62200.0,22,574.0,0.282,4,0,0,19541.0,60,0.282,home_improvement,mortgage,online,scotland,0
65,39000.0,4,711.0,0.178,1,0,0,7073.0,60,0.163,education,rent,branch,wales,1
38,30300.0,16,777.0,0.5,4,0,0,1000.0,60,0.112,vacation,mortgage,branch,wales,0
70,52900.0,34,597.0,0.196,2,0,0,11755.0,36,0.257,education,mortgage,broker,midlands,1
59,61500.0,14,649.0,0.144,10,0,0,18432.0,60,0.273,vacation,mortgage,online,south,0
